,Area,Mean,Min ,Max,X,Y
22,0,163,163,163,17.742,7.034
23,0,214,214,214,19.053,9.925
24,0,143,143,143,19.022,9.669
25,0,236,236,236,12.064,5.708
26,0,162,162,162,12.185,5.874
27,0,228,228,228,4.082,9.639
28,0,110,110,110,3.991,9.413
29,0,233,233,233,6.537,7.998
30,0,111,111,111,6.537,8.254
31,0,205,205,205,4.91,5.633
32,0,145,145,145,4.865,5.317
33,0,231,231,231,6.687,4.262
34,0,184,184,184,6.537,4.021
35,0,211,211,211,16.055,2.726
36,0,117,117,117,15.86,2.56
37,0,229,229,229,15.182,2.892
38,0,219,219,219,14.941,2.515
39,0,202,202,202,7.41,1.325
40,0,97,97,97,7.214,1.461
1,0,230,230,230,10.377,15.649
2,0,86,86,86,10.648,15.604
3,0,198,198,198,11.778,16.311
4,0,160,160,160,12.004,16.206
5,0,217,217,217,12.667,15.995
6,0,202,202,202,12.938,15.965
7,0,195,195,195,10.513,16.643
8,0,107,107,107,10.739,16.643
9,0,202,202,202,16.311,15.905
10,0,140,140,140,16.372,15.694
11,0,199,199,199,17.818,14.414
12,0,153,153,153,17.637,14.549
13,0,235,235,235,17.381,9.278
14,0,135,135,135,17.185,9.202
15,0,227,227,227,13.615,7.124
16,0,163,163,163,13.781,7.004
17,0,248,248,248,14.956,7.44
18,0,202,202,202,15.242,7.425
19,0,236,236,236,9.007,8.48
20,0,201,201,201,8.931,8.705
21,0,226,226,226,10.151,2.907
22,0,187,187,187,10.181,3.148
23,0,247,247,247,8.901,2.997
24,0,150,150,150,8.736,3.178
25,0,212,212,212,6.868,3.193
26,0,81,81,81,7.064,2.997
27,0,208,208,208,5.814,6.115
28,0,98,98,98,5.618,6.145
29,0,225,225,225,5.784,8.811
30,0,214,214,214,5.874,8.992
31,0,205,205,205,5.166,13.736
32,0,152,152,152,5.362,13.902
33,0,223,223,223,5.708,12.953
34,0,85,85,85,6.009,12.832
35,0,189,189,189,5,13.133
36,0,156,156,156,5.061,12.877
37,0,228,228,228,19.881,11.612
38,0,173,173,173,19.655,11.733
39,0,219,219,219,18.556,11.823
40,0,192,192,192,18.375,11.989
1,0,211,211,211,14.188,1.125
2,0,110,110,110,14.258,1.396
3,0,224,224,224,15.523,2.329
4,0,130,130,130,15.804,2.319
5,0,230,230,230,15.674,4.016
6,0,110,110,110,15.794,3.785
7,0,236,236,236,14.569,3.484
8,0,136,136,136,14.74,3.645
